acc	organisms	technology	platforms	samples
SRP110283	RATTUS_NORVEGICUS	RNA-SEQ	Ion Torrent Proton	NA
SRP116037	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,Illumina Genome Analyzer IIx	NA
SRP116158	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP095569	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5127162,SRR5127161,SRR5127160,SRR5127159,SRR5127158,SRR5127157,SRR5127156,SRR5127155,SRR5127154,SRR5127153,SRR5127152,SRR5127151,SRR5127150,SRR5127149,SRR5127148,SRR5127147,SRR5127146,SRR5127145,SRR5127144,SRR5127143,SRR5127142,SRR5127141,SRR5127140,SRR5127139,SRR5127138,SRR5127137,SRR5127136,SRR5127135
SRP113769	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR5878076,SRR5878075,SRR5878074,SRR5878073,SRR5878072,SRR5878071,SRR5878070,SRR5878069,SRR5878068,SRR5878067,SRR5878066,SRR5878065,SRR5878064,SRR5878063,SRR5878062,SRR5878061,SRR5878060,SRR5878059,SRR5878058,SRR5878057,SRR5878056,SRR5878055,SRR5878054,SRR5878053
SRP113452	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP041131	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP048960	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR1613357,SRR1613356
SRP099115	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5240060,SRR5240059,SRR5240058,SRR5240057
SRP115347	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5927315,SRR5927314,SRR5927313,SRR5927312,SRR5927311,SRR5927310,SRR5927309,SRR5927308,SRR5927307,SRR5927306
SRP115810	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5944368,SRR5944367,SRR5944366,SRR5944365,SRR5944364,SRR5944363,SRR5944362,SRR5944361
SRP092006	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR4448323,SRR4448322
SRP035358	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR1107311,SRR1107310,SRR1107309,SRR1107308
SRP028727	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	SRR950440,SRR950439,SRR950438,SRR950437,SRR950436,SRR950435,SRR950434,SRR950433,SRR950432,SRR950431,SRR950430
SRP043193	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR1391030,SRR1391029,SRR1391028,SRR1391027,SRR1391026,SRR1391025,SRR1391024,SRR1391023,SRR1391022,SRR1391021,SRR1391020,SRR1391019,SRR1391018,SRR1391017,SRR1391016,SRR1391015,SRR1391014,SRR1391013,SRR1391012
SRP072571	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 1000	SRR3313614,SRR3313613,SRR3313612,SRR3313611,SRR3313610,SRR3313609,SRR3313608,SRR3313607,SRR3313606,SRR3313605,SRR3313604,SRR3313603,SRR3313602,SRR3313601,SRR3313600
SRP056481	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	SRR1927119,SRR1927118,SRR1927117,SRR1927116
